순위,제목,평점,애매율,개봉일
1,교섭,6.4,25.1%,23.01.18
2,아바타: 물의 길,7.8,21.7%,22.12.14
3,유령,6.5,16.6%,23.01.18
4,방탄소년단: 옛 투 컴 인 시네마,9.7,11.4%,23.02.01
5,더 퍼스트 슬램덩크,8.7,7.7%,23.01.04
6,영웅,9.2,3.1%,22.12.21
7,라일 라일 크로커다일,10.0,2.2%,23.01.18
8,장화신은 고양이: 끝내주는 모험,8.7,1.9%,23.01.04
9,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",6.7,1.4%,22.11.30
10,캐리와 슈퍼콜라,10.0,1.2%,23.01.18
11,위너 2022 콘서트 더 서클 더 무비,5.0,0.8%,23.01.25
12,극장판 파워레인저 캡틴포스: 지구를 위한 싸움,10.0,0.6%,23.01.19
13,어메이징 모리스,0.0,0.5%,23.02.15
14,천룡팔부: 교봉전,8.5,0.5%,23.01.25
15,스위치,7.4,0.4%,23.01.04
16,유랑의 달,9.0,0.3%,23.01.18
17,올빼미,8.9,0.2%,22.11.23
18,프린스 챠밍,8.0,0.2%,23.01.11
19,시간을 꿈꾸는 소녀,8.8,0.2%,23.01.11
20,해시태그 시그네,9.7,0.2%,23.01.11
